Timestamp,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Output Current,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Velocity
1642727204191,,2977.14404296875
1642727204166,4.40625,
1642727204143,,2994.287109375
1642727204038,5.84375,
1642727204028,,3040.00048828125
1642727204000,5.84375,
1642727203982,,3040.00048828125
1642727203870,5.6875,
1642727203859,,3085.71337890625
1642727203828,5.6875,
1642727203810,,3085.71337890625
1642727203667,3.40625,
1642727203659,,3131.42822265625
1642727203647,4.3125,
1642727203638,,3142.85693359375
1642727203532,4.40625,
1642727203523,,3188.5712890625
1642727203494,4.40625,
1642727203473,,3188.5712890625
1642727203356,3.78125,
1642727203346,,3228.57177734375
1642727203319,3.78125,
1642727203300,,3228.57177734375
1642727203182,5.28125,
1642727203170,,3262.857421875
1642727203140,2.71875,
1642727203123,,3280.0009765625
1642727203015,4.1875,
1642727203006,,3325.71484375
1642727202978,4.1875,
1642727202956,,3325.71484375
1642727202844,4,
1642727202835,,3365.71435546875
1642727202813,4,
1642727202786,,3365.71435546875
1642727202627,4.15625,
1642727202621,,3405.71337890625
1642727202611,4.15625,
1642727202602,,3405.71337890625
1642727202469,4.3125,
1642727202461,,3428.5712890625
1642727202444,6.03125,
1642727202437,,3439.99951171875
1642727202347,2.96875,
1642727202339,,3468.5712890625
1642727202323,4.53125,
1642727202307,,3474.28564453125
1642727202208,3.84375,
1642727202199,,3514.28515625
1642727202174,5.5625,
1642727202151,,3514.28515625
1642727202068,4.09375,
1642727202056,,3542.857421875
1642727202029,2.5,
1642727202004,,3560
1642727201907,4.03125,
1642727201896,,3582.85791015625
1642727201867,4.625,
1642727201848,,3594.28662109375
1642727201751,4.84375,
1642727201744,,3611.42919921875
1642727201734,5.90625,
1642727201710,,3622.8583984375
1642727201613,7.53125,
1642727201606,,3640.0009765625
1642727201596,4.71875,
1642727201590,,3645.71533203125
1642727201493,4.84375,
1642727201485,,3662.8583984375
1642727201463,4.84375,
1642727201438,,3680
1642727201347,4,
1642727201339,,3702.85595703125
1642727201314,4,
1642727201289,,3702.85595703125
1642727201181,4.4375,
1642727201174,,3725.712890625
1642727201157,7.21875,
1642727201149,,3731.427734375
1642727201061,4.34375,
1642727201051,,3754.28466796875
1642727201024,4.59375,
1642727200998,,3765.71337890625
1642727200899,3.96875,
1642727200891,,3794.28515625
1642727200876,4.59375,
1642727200870,,3800
1642727200782,4,
1642727200776,,3828.5712890625
1642727200754,2.65625,
1642727200743,,3840.00048828125
1642727200661,3.375,
1642727200654,,3874.2861328125
1642727200609,4.09375,
1642727200582,,3885.71484375
1642727200492,4.90625,
1642727200483,,3920.00146484375
1642727200404,4.84375,
1642727200398,,3942.85791015625
1642727200355,6.25,
1642727200330,,3954.28662109375
1642727200236,4.5625,
1642727200228,,3977.1435546875
1642727200217,4.03125,
1642727200209,,3994.2861328125
1642727200106,5.96875,
1642727200100,,4011.42822265625
1642727200074,4.8125,
1642727200064,,4022.85595703125
1642727199988,5.0625,
1642727199981,,4045.71337890625
1642727199943,4.5,
1642727199922,,4062.85546875
1642727199829,5.96875,
1642727199820,,4091.42724609375
1642727199794,5.21875,
1642727199769,,4102.8564453125
1642727199675,5.75,
1642727199662,,4131.4287109375
1642727199634,6.59375,
1642727199612,,4148.57177734375
1642727199521,5.8125,
1642727199511,,4188.57177734375
1642727199485,5.8125,
1642727199460,,4188.57177734375
1642727199321,5.3125,
1642727199312,,4228.572265625
1642727199286,5.3125,
1642727199266,,4228.572265625
1642727199113,5.46875,
1642727199105,,4262.8583984375
1642727199094,5.46875,
1642727199076,,4262.8583984375
1642727198950,6.6875,
1642727198943,,4280.0009765625
1642727198928,7.875,
1642727198922,,4291.43017578125
1642727198833,6.5625,
1642727198825,,4297.14404296875
1642727198813,6.5625,
1642727198803,,4297.14453125
1642727198699,7.46875,
1642727198692,,4320.0009765625
1642727198683,7.0625,
1642727198676,,4320.0009765625
1642727198582,6.15625,
1642727198576,,4331.4296875
1642727198565,7.8125,
1642727198558,,4337.14453125
1642727198460,5.15625,
1642727198451,,4348.5732421875
1642727198427,5.15625,
1642727198402,,4348.5732421875
1642727198263,6.875,
1642727198256,,4371.4287109375
1642727198246,8.625,
1642727198239,,4371.4287109375
1642727198141,6.09375,
1642727198134,,4382.8564453125
1642727198124,6.78125,
1642727198118,,4382.8564453125
1642727198021,6.375,
1642727198014,,4388.5703125
1642727198002,6.375,
1642727197992,,4388.5703125
1642727197881,7.6875,
1642727197874,,4399.99951171875
1642727197851,7.90625,
1642727197844,,4405.7138671875
1642727197759,9.53125,
1642727197753,,4417.142578125
1642727197736,6.65625,
1642727197729,,4417.142578125
1642727197639,5.875,
1642727197630,,4428.5703125
1642727197600,5.625,
1642727197575,,4434.28515625
1642727197495,7.4375,
1642727197489,,4440
1642727197401,6.625,
1642727197395,,4445.71435546875
1642727197372,9.3125,
1642727197365,,4451.42919921875
1642727197281,5.9375,
1642727197268,,4457.1435546875
1642727197252,7.09375,
1642727197245,,4462.857421875
1642727197161,7.34375,
1642727197153,,4474.28515625
1642727197133,7.34375,
1642727197109,,4474.28515625
