Timestamp,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Output Current,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Velocity,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Input Voltage
1642730372792,,3857.14306640625,
1642730372768,,,12.109375
1642730372761,11.28125,,
1642730372753,,3857.1435546875,
1642730372677,10.71875,,
1642730372669,,3857.14306640625,
1642730372646,,,12.2734375
1642730372639,7.1875,,
1642730372630,,3862.857421875,
1642730372554,6.71875,,
1642730372546,,3862.857421875,
1642730372515,,,12.234375
1642730372508,7.625,,
1642730372500,,3857.1435546875,
1642730372432,5.78125,,
1642730372405,,3862.857421875,
1642730372392,,,12.2890625
1642730372385,6.03125,,
1642730372378,,3857.142578125,
1642730372280,6.3125,,
1642730372273,,3857.1435546875,
1642730372261,,,12.2265625
1642730372254,7.5,,
1642730372247,,3857.14306640625,
1642730372155,7.53125,,
1642730372147,,3857.142578125,
1642730372135,,,12.2578125
1642730372128,6.71875,,
1642730372121,,3857.142578125,
1642730372029,7.34375,,
1642730372021,,3857.14306640625,
1642730372010,,,12.3046875
1642730372002,6.59375,,
1642730371995,,3857.1435546875,
1642730371903,7.25,,
1642730371895,,3857.14306640625,
1642730371884,,,12.2890625
1642730371874,7.40625,,
1642730371867,,3857.14306640625,
1642730371773,9.40625,,
1642730371765,,3862.85693359375,
1642730371753,,,12.2890625
1642730371746,6.9375,,
1642730371739,,3857.14306640625,
1642730371640,9.375,,
1642730371633,,3857.1435546875,
1642730371620,,,12.2734375
1642730371612,7.40625,,
1642730371605,,3862.85791015625,
1642730371513,6.21875,,
1642730371505,,3862.857421875,
1642730371493,,,12.2421875
1642730371486,8.8125,,
1642730371479,,3862.857421875,
1642730371389,5.84375,,
1642730371381,,3868.5712890625,
1642730371370,,,12.234375
1642730371363,9.46875,,
1642730371355,,3862.857421875,
1642730371263,6.15625,,
1642730371255,,3868.57177734375,
1642730371244,,,12.328125
1642730371237,7.4375,,
1642730371229,,3868.57177734375,
1642730371139,8.8125,,
1642730371131,,3862.857421875,
1642730371119,,,12.3359375
1642730371112,7.03125,,
1642730371105,,3868.57177734375,
1642730371013,8.3125,,
1642730371005,,3868.572265625,
1642730370994,,,12.25
1642730370986,8.46875,,
1642730370979,,3862.857421875,
1642730370886,8.65625,,
1642730370878,,3862.857421875,
1642730370866,,,12.2109375
1642730370858,8.125,,
1642730370851,,3862.857421875,
1642730370757,8.59375,,
1642730370749,,3868.572265625,
1642730370737,,,12.125
1642730370730,10.8125,,
1642730370723,,3868.572265625,
1642730370630,8,,
1642730370623,,3862.85693359375,
1642730370611,,,12.125
1642730370604,10.125,,
1642730370597,,3868.57177734375,
1642730370505,6.53125,,
1642730370498,,3862.857421875,
1642730370485,,,12.25
1642730370478,5.9375,,
1642730370471,,3862.857421875,
1642730370379,8.75,,
