Timestamp,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Input Voltage,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Output Current,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Velocity
1642730746244,,,4274.287109375
1642730746158,,9.03125,
1642730746150,,,4274.28662109375
1642730746127,12.1328125,,
1642730746120,,7.75,
1642730746112,,,4274.2861328125
1642730746037,,10.34375,
1642730746030,,,4274.28662109375
1642730745999,12.078125,,
1642730745992,,9.71875,
1642730745984,,,4274.287109375
1642730745912,,10.25,
1642730745885,,,4280.0009765625
1642730745873,12.078125,,
1642730745865,,9.84375,
1642730745858,,,4274.2861328125
1642730745765,,9.8125,
1642730745757,,,4274.28759765625
1642730745746,12.1796875,,
1642730745739,,8.21875,
1642730745731,,,4274.28759765625
1642730745638,,11.46875,
1642730745630,,,4274.28759765625
1642730745618,12.140625,,
1642730745611,,10.03125,
1642730745604,,,4280.0009765625
1642730745515,,9.4375,
1642730745507,,,4274.28662109375
1642730745496,12.109375,,
1642730745489,,10.75,
1642730745481,,,4280.0009765625
1642730745390,,12.625,
1642730745383,,,4274.28662109375
1642730745371,12.0859375,,
1642730745365,,9.09375,
1642730745357,,,4274.287109375
1642730745264,,10.8125,
1642730745256,,,4274.287109375
1642730745244,12.0859375,,
1642730745238,,9.90625,
1642730745230,,,4274.287109375
1642730745134,,9.53125,
1642730745127,,,4274.28662109375
1642730745115,11.9765625,,
1642730745108,,12.90625,
1642730745101,,,4268.57177734375
1642730745011,,12.71875,
1642730745003,,,4268.572265625
1642730744992,12.015625,,
1642730744984,,10.96875,
1642730744977,,,4262.8583984375
1642730744882,,13.875,
1642730744875,,,4262.85791015625
1642730744864,12.1484375,,
1642730744856,,9.78125,
1642730744849,,,4262.85791015625
1642730744757,,10.28125,
1642730744749,,,4257.14453125
1642730744738,11.96875,,
1642730744731,,13.09375,
1642730744723,,,4257.14453125
1642730744631,,13.34375,
1642730744623,,,4257.14404296875
1642730744612,11.9921875,,
1642730744605,,11.65625,
1642730744597,,,4257.14404296875
1642730744507,,13.03125,
1642730744499,,,4262.85888671875
1642730744488,12.1328125,,
1642730744481,,9.59375,
1642730744473,,,4262.85888671875
1642730744381,,10.03125,
1642730744373,,,4262.8583984375
1642730744362,12,,
1642730744355,,12.71875,
1642730744347,,,4262.8583984375
1642730744257,,12.96875,
1642730744249,,,4262.8583984375
1642730744238,12.1875,,
1642730744231,,8.34375,
1642730744223,,,4262.8583984375
1642730744131,,9.46875,
1642730744124,,,4262.85888671875
1642730744112,12.1640625,,
1642730744105,,8.59375,
1642730744097,,,4262.85888671875
1642730744000,,9.5625,
1642730743992,,,4262.85791015625
1642730743982,12.0234375,,
1642730743974,,12.875,
1642730743966,,,4262.85791015625
1642730743874,,13.0625,
1642730743866,,,4257.14404296875
1642730743856,12.1953125,,
1642730743848,,8.78125,
1642730743840,,,4257.14404296875
1642730743749,,9.875,
1642730743741,,,4251.4296875
1642730743729,12.1484375,,
1642730743722,,9.03125,
1642730743715,,,4257.14404296875
1642730743624,,9.375,
1642730743616,,,4257.14404296875
1642730743605,12.0234375,,
1642730743598,,12.4375,
1642730743590,,,4257.14404296875
1642730743498,,11.40625,
1642730743490,,,4257.14453125
1642730743479,12.21875,,
1642730743472,,8.96875,
1642730743464,,,4257.14453125
1642730743374,,10.125,
1642730743367,,,4257.14404296875
1642730743355,12.046875,,
1642730743348,,12.25,
1642730743340,,,4257.14404296875
1642730743248,,13.1875,
1642730743241,,,4262.8583984375
1642730743229,12.1484375,,
1642730743222,,10.375,
1642730743215,,,4262.857421875
1642730743118,,11.84375,
1642730743111,,,4257.1435546875
1642730743099,12.140625,,
1642730743093,,9.5,
1642730743085,,,4262.85791015625
1642730743001,,8.75,
1642730742993,,,4257.14404296875
1642730742970,12.109375,,
1642730742963,,10.25,
1642730742955,,,4257.14306640625
1642730742878,,11.625,
1642730742871,,,4257.14404296875
1642730742846,12.0703125,,
1642730742838,,10.40625,
1642730742831,,,4251.42919921875
1642730742756,,10.09375,
1642730742748,,,4251.42919921875
1642730742718,12.0625,,
1642730742711,,11,
1642730742703,,,4251.42919921875
1642730742631,,10.3125,
1642730742604,,,4245.71484375
1642730742591,12.109375,,
1642730742584,,11.15625,
1642730742577,,,4245.71484375
1642730742485,,11.96875,
1642730742477,,,4240.0009765625
1642730742466,12.015625,,
1642730742459,,11.28125,
1642730742451,,,4234.28662109375
1642730742358,,12.5625,
1642730742351,,,4234.2861328125
1642730742339,12.046875,,
1642730742332,,11,
1642730742325,,,4234.287109375
1642730742225,,11.03125,
1642730742217,,,4228.57177734375
1642730742206,12.046875,,
1642730742199,,11.9375,
1642730742191,,,4228.57177734375
1642730742099,,12.4375,
1642730742091,,,4199.99951171875
1642730742080,12.0546875,,
1642730742073,,11.09375,
1642730742065,,,4199.99951171875
1642730741968,,12.71875,
1642730741960,,,4171.42822265625
1642730741948,12.0078125,,
1642730741941,,12.625,
1642730741933,,,4148.57177734375
1642730741842,,12.96875,
1642730741835,,,4091.42724609375
1642730741823,11.8515625,,
1642730741815,,14.03125,
1642730741807,,,4068.57080078125
1642730741720,,15.21875,
1642730741711,,,3994.2861328125
1642730741699,11.71875,,
1642730741692,,18.9375,
1642730741684,,,3994.2861328125
1642730741594,,19.4375,
1642730741586,,,3851.4287109375
1642730741575,11.6640625,,
1642730741568,,19.78125,
1642730741560,,,3851.4287109375
1642730741468,,20.125,
1642730741460,,,3959.99951171875
1642730741449,11.4296875,,
1642730741442,,23.1875,
1642730741434,,,4068.5712890625
1642730741344,,29.1875,
1642730741336,,,4257.14306640625
1642730741325,11.7578125,,
1642730741318,,17.40625,
1642730741310,,,4262.85791015625
1642730741218,,12.5625,
1642730741210,,,4262.85888671875
1642730741199,12.0859375,,
1642730741192,,9.5,
1642730741185,,,4262.85888671875
1642730741093,,10.875,
1642730741086,,,4262.8583984375
1642730741074,11.9609375,,
1642730741067,,13.375,
1642730741060,,,4262.8583984375
1642730740968,,13.71875,
1642730740960,,,4268.57275390625
1642730740949,12,,
1642730740942,,12.09375,
1642730740934,,,4268.57275390625
1642730740842,,11.5,
1642730740834,,,4268.5732421875
1642730740823,12.1328125,,
1642730740816,,9.5625,
1642730740808,,,4268.57275390625
1642730740718,,8.28125,
1642730740711,,,4268.57275390625
1642730740699,11.984375,,
1642730740692,,12.59375,
1642730740685,,,4268.57275390625
1642730740588,,11.5,
1642730740580,,,4274.28759765625
1642730740568,11.984375,,
1642730740560,,12.65625,
1642730740553,,,4268.57275390625
1642730740460,,13.0625,
1642730740453,,,4268.57275390625
1642730740441,12.15625,,
1642730740434,,9.8125,
1642730740427,,,4274.287109375
1642730740334,,9.9375,
1642730740327,,,4262.8583984375
1642730740315,12.03125,,
1642730740308,,12.9375,
1642730740301,,,4268.57275390625
1642730740203,,8.4375,
1642730740195,,,4262.85791015625
1642730740183,12,,
1642730740177,,12.40625,
1642730740169,,,4262.8583984375
1642730740077,,13.1875,
1642730740070,,,4262.857421875
1642730740058,12.125,,
1642730740051,,9.40625,
1642730740044,,,4262.85791015625
1642730739951,,10.65625,
1642730739944,,,4262.8583984375
1642730739932,12.1484375,,
1642730739926,,10.15625,
1642730739918,,,4257.1435546875
1642730739829,,9.625,
1642730739821,,,4262.85888671875
1642730739809,12.0078125,,
1642730739801,,12.1875,
1642730739793,,,4257.14404296875
1642730739703,,12.59375,
1642730739695,,,4262.85791015625
1642730739683,12.140625,,
1642730739676,,9.46875,
1642730739669,,,4262.85888671875
1642730739578,,9.96875,
1642730739570,,,4257.14404296875
1642730739559,12.1015625,,
1642730739552,,11.625,
1642730739545,,,4257.14404296875
1642730739452,,9.15625,
1642730739444,,,4257.1435546875
1642730739433,12.0234375,,
1642730739426,,12.15625,
1642730739419,,,4257.1435546875
1642730739328,,10.25,
1642730739321,,,4262.85791015625
1642730739309,12.1796875,,
1642730739302,,9.8125,
1642730739295,,,4262.85791015625
1642730739202,,9.59375,
1642730739195,,,4262.8583984375
1642730739183,12.1171875,,
1642730739176,,11.5,
1642730739169,,,4262.857421875
1642730739078,,12.59375,
1642730739071,,,4262.85791015625
1642730739060,12.15625,,
1642730739053,,9.3125,
1642730739045,,,4262.85791015625
1642730738953,,9.9375,
1642730738945,,,4268.5732421875
1642730738934,12.2109375,,
1642730738927,,9.59375,
1642730738919,,,4268.572265625
1642730738824,,9,
1642730738817,,,4268.57275390625
1642730738806,12.0390625,,
1642730738798,,12.75,
1642730738791,,,4268.57275390625
1642730738696,,11.65625,
1642730738689,,,4262.85791015625
1642730738677,12.109375,,
1642730738670,,10,
1642730738663,,,4262.85888671875
1642730738571,,9.875,
1642730738563,,,4262.8583984375
1642730738552,12.1015625,,
1642730738545,,9.75,
1642730738537,,,4262.8583984375
1642730738446,,10.25,
1642730738439,,,4262.8583984375
1642730738427,12.046875,,
1642730738420,,12.90625,
1642730738413,,,4262.8583984375
1642730738321,,11.15625,
1642730738313,,,4257.14404296875
1642730738301,12.0703125,,
1642730738294,,10.0625,
1642730738287,,,4257.14404296875
1642730738192,,10.0625,
1642730738184,,,4262.8583984375
1642730738173,12.09375,,
1642730738166,,9.84375,
1642730738159,,,4262.85791015625
1642730738066,,10.15625,
1642730738059,,,4262.85791015625
1642730738047,12,,
1642730738040,,13.46875,
1642730738033,,,4262.85791015625
1642730737942,,9.90625,
1642730737935,,,4268.5732421875
1642730737923,12.0703125,,
1642730737916,,9.90625,
1642730737909,,,4268.5732421875
1642730737816,,10.75,
1642730737809,,,4268.57275390625
1642730737798,11.984375,,
1642730737790,,13.03125,
1642730737783,,,4268.57275390625
1642730737687,,10.21875,
1642730737679,,,4262.85888671875
1642730737667,12.015625,,
1642730737660,,13.71875,
1642730737653,,,4262.85791015625
1642730737562,,10.75,
1642730737555,,,4257.14404296875
1642730737543,12.0546875,,
1642730737537,,10.09375,
1642730737529,,,4262.8583984375
1642730737436,,10.21875,
1642730737429,,,4257.1435546875
1642730737417,11.984375,,
1642730737410,,13.34375,
1642730737403,,,4257.1435546875
1642730737312,,11.09375,
1642730737305,,,4262.85791015625
1642730737294,11.9765625,,
1642730737287,,14,
1642730737279,,,4257.14404296875
1642730737187,,11.65625,
1642730737179,,,4262.857421875
1642730737168,12.0703125,,
1642730737161,,10.0625,
1642730737153,,,4262.8583984375
1642730737063,,10.375,
1642730737056,,,4262.85791015625
1642730737044,11.96875,,
1642730737037,,13.84375,
1642730737029,,,4262.85791015625
1642730736937,,10.8125,
1642730736929,,,4262.8583984375
1642730736918,12.0859375,,
1642730736911,,10.03125,
1642730736904,,,4262.8583984375
1642730736813,,9.59375,
1642730736805,,,4262.85791015625
1642730736794,12,,
1642730736787,,11.53125,
1642730736780,,,4262.85791015625
1642730736697,,11.40625,
1642730736690,,,4262.8583984375
1642730736666,12.0625,,
1642730736660,,11.5625,
1642730736652,,,4262.85888671875
1642730736575,,10.40625,
1642730736548,,,4257.14404296875
1642730736536,12.078125,,
1642730736529,,10.0625,
1642730736521,,,4257.14453125
1642730736431,,9.9375,
1642730736423,,,4257.14404296875
1642730736412,12.0546875,,
1642730736405,,10.875,
1642730736397,,,4257.14404296875
1642730736304,,10.21875,
1642730736297,,,4257.14404296875
1642730736284,12.015625,,
1642730736278,,13.4375,
1642730736270,,,4262.85888671875
1642730736178,,11.15625,
1642730736171,,,4257.14404296875
1642730736159,12.0859375,,
1642730736152,,9.9375,
1642730736145,,,4257.14404296875
1642730736052,,10.1875,
1642730736045,,,4257.14404296875
1642730736033,12.1015625,,
1642730736026,,10.15625,
1642730736019,,,4257.1435546875
1642730735922,,10.21875,
1642730735914,,,4251.42919921875
1642730735903,11.9765625,,
1642730735895,,13.5625,
1642730735887,,,4251.42919921875
1642730735794,,13.15625,
1642730735787,,,4251.42919921875
1642730735775,11.9609375,,
1642730735767,,13,
1642730735759,,,4251.42919921875
1642730735671,,10.53125,
1642730735663,,,4245.71484375
1642730735651,12.1171875,,
1642730735644,,9.53125,
1642730735636,,,4245.71484375
1642730735546,,10.75,
1642730735539,,,4240.00048828125
1642730735527,12.015625,,
1642730735520,,10.5625,
1642730735512,,,4240.00048828125
1642730735420,,11.5,
1642730735412,,,4245.71435546875
1642730735401,12.0859375,,
1642730735394,,9.84375,
1642730735386,,,4240.0009765625
1642730735290,,10.59375,
1642730735282,,,4240.00048828125
1642730735271,12.1484375,,
1642730735264,,10.9375,
1642730735256,,,4240.00048828125
1642730735160,,11.53125,
1642730735152,,,4234.28662109375
1642730735141,12.09375,,
1642730735134,,9.78125,
1642730735126,,,4234.28662109375
1642730735034,,10.1875,
1642730735027,,,4228.572265625
1642730735015,12.1171875,,
1642730735008,,9,
1642730735001,,,4228.572265625
1642730734911,,10.90625,
1642730734903,,,4217.14306640625
1642730734891,12.0859375,,
1642730734885,,11.40625,
1642730734877,,,4205.71484375
1642730734784,,11.875,
1642730734777,,,4182.85693359375
1642730734766,12.109375,,
1642730734759,,11.15625,
1642730734751,,,4177.14306640625
1642730734655,,10.21875,
1642730734648,,,4142.85693359375
1642730734637,11.9375,,
1642730734629,,14.25,
1642730734622,,,4142.85693359375
1642730734532,,15.5625,
1642730734524,,,4068.57080078125
1642730734512,11.9921875,,
1642730734506,,13.34375,
1642730734498,,,4045.7138671875
1642730734405,,13.875,
1642730734398,,,3960
1642730734386,11.765625,,
1642730734380,,17.40625,
1642730734372,,,3925.71435546875
1642730734281,,16.21875,
1642730734274,,,3885.7138671875
1642730734263,11.5546875,,
1642730734256,,22.15625,
1642730734248,,,3920
1642730734156,,26.78125,
1642730734148,,,4062.8564453125
1642730734137,11.4375,,
1642730734130,,27.09375,
1642730734122,,,4062.8564453125
1642730734031,,18.96875,
1642730734023,,,4257.14306640625
1642730734012,12.078125,,
1642730734005,,9.4375,
1642730733998,,,4257.14404296875
1642730733905,,13.65625,
1642730733898,,,4262.857421875
1642730733886,12.09375,,
1642730733879,,10.125,
1642730733872,,,4262.8583984375
1642730733777,,10.5625,
1642730733767,,,4262.8583984375
1642730733755,12.140625,,
1642730733748,,10.6875,
1642730733739,,,4262.8583984375
1642730733648,,13.0625,
1642730733640,,,4262.85791015625
1642730733628,12.0546875,,
1642730733621,,9.8125,
1642730733613,,,4262.85888671875
1642730733521,,13.125,
1642730733513,,,4262.85791015625
1642730733502,12.0546875,,
1642730733495,,10.71875,
1642730733487,,,4262.85888671875
1642730733397,,10.1875,
1642730733389,,,4262.8583984375
1642730733378,12.0546875,,
1642730733371,,12.5,
1642730733363,,,4262.8583984375
1642730733271,,11.8125,
1642730733264,,,4262.8583984375
1642730733252,12.0625,,
1642730733245,,9.375,
1642730733238,,,4262.8583984375
1642730733147,,13.375,
1642730733139,,,4257.14453125
1642730733128,12.078125,,
1642730733121,,10.34375,
1642730733114,,,4257.1435546875
1642730733021,,10.625,
1642730733013,,,4257.14453125
1642730733002,12.0703125,,
1642730732995,,11.65625,
1642730732988,,,4257.1435546875
1642730732890,,13.28125,
1642730732882,,,4262.85888671875
1642730732871,12.0390625,,
1642730732863,,9.59375,
1642730732856,,,4262.85791015625
1642730732762,,11.40625,
1642730732754,,,4257.1435546875
1642730732743,12.0546875,,
1642730732736,,10.9375,
1642730732728,,,4257.1435546875
1642730732638,,9.25,
1642730732631,,,4251.4296875
1642730732619,12.03125,,
1642730732612,,10.65625,
1642730732605,,,4257.14404296875
1642730732514,,13.65625,
1642730732507,,,4257.14453125
1642730732495,12.0625,,
1642730732488,,10.5625,
1642730732481,,,4257.1435546875
1642730732388,,10.1875,
1642730732380,,,4262.85888671875
1642730732369,12.078125,,
1642730732362,,11.46875,
1642730732355,,,4257.14404296875
1642730732264,,9.5625,
1642730732257,,,4257.14404296875
1642730732245,12.046875,,
1642730732238,,9.90625,
1642730732231,,,4257.14404296875
1642730732138,,12.5625,
1642730732131,,,4257.1435546875
1642730732119,12.0859375,,
1642730732112,,10.34375,
1642730732105,,,4257.1435546875
1642730732009,,10.28125,
1642730732002,,,4251.4296875
1642730731990,12.078125,,
1642730731983,,9.84375,
1642730731976,,,4251.4296875
1642730731886,,10.84375,
1642730731879,,,4245.7158203125
1642730731868,12.09375,,
1642730731860,,9.71875,
1642730731852,,,4245.7158203125
1642730731761,,10.9375,
1642730731754,,,4245.7158203125
1642730731743,12.0546875,,
1642730731735,,10.375,
1642730731728,,,4245.7158203125
1642730731632,,11,
1642730731624,,,4240.00048828125
1642730731612,12.0546875,,
1642730731605,,11.25,
1642730731598,,,4240.00048828125
1642730731507,,11.75,
1642730731498,,,4240.0009765625
1642730731486,12.046875,,
1642730731479,,11.15625,
1642730731472,,,4240.0009765625
1642730731382,,9.65625,
1642730731374,,,4240.00048828125
1642730731363,12.1015625,,
1642730731356,,10.8125,
1642730731348,,,4240.00048828125
1642730731256,,12.46875,
1642730731248,,,4240.0009765625
1642730731236,12.0703125,,
1642730731230,,10.03125,
1642730731222,,,4240.0009765625
1642730731131,,8.90625,
1642730731124,,,4240
1642730731113,12.0625,,
1642730731106,,10.5,
1642730731098,,,4240.00048828125
1642730731006,,10.78125,
1642730730998,,,4240.0009765625
1642730730986,12.046875,,
1642730730980,,13.09375,
1642730730972,,,4240.0009765625
1642730730875,,12.21875,
1642730730868,,,4240.0009765625
1642730730857,12.09375,,
1642730730849,,10.9375,
1642730730841,,,4240.0009765625
1642730730751,,10.15625,
1642730730743,,,4245.71484375
1642730730732,12.0859375,,
1642730730725,,10.21875,
1642730730717,,,4245.7158203125
1642730730635,,14.03125,
1642730730627,,,4245.7158203125
1642730730604,12.1328125,,
1642730730597,,9.90625,
1642730730589,,,4251.4296875
1642730730513,,10.84375,
1642730730506,,,4251.4287109375
1642730730475,12.09375,,
1642730730468,,11.0625,
1642730730460,,,4245.71533203125
1642730730390,,9.46875,
1642730730362,,,4245.71533203125
1642730730349,12.125,,
1642730730342,,9.90625,
1642730730335,,,4245.71435546875
1642730730242,,10.09375,
1642730730234,,,4251.4296875
1642730730223,12.203125,,
1642730730216,,8.65625,
1642730730209,,,4257.14404296875
1642730730116,,8.9375,
1642730730109,,,4257.14404296875
1642730730097,12.15625,,
1642730730091,,8.59375,
1642730730083,,,4257.14404296875
1642730729993,,9.875,
1642730729985,,,4262.85791015625
1642730729973,12.1171875,,
1642730729966,,11.1875,
1642730729959,,,4257.14404296875
1642730729863,,9.875,
1642730729856,,,4262.8583984375
1642730729844,12.15625,,
1642730729837,,9.15625,
1642730729829,,,4262.8583984375
1642730729729,,10.03125,
1642730729722,,,4262.85791015625
1642730729711,12.0859375,,
1642730729703,,10.59375,
1642730729696,,,4268.572265625
1642730729600,,8.5,
1642730729593,,,4268.57177734375
1642730729581,12.1171875,,
1642730729573,,10.6875,
1642730729566,,,4268.57177734375
1642730729473,,10.34375,
1642730729466,,,4268.572265625
1642730729454,12.1640625,,
1642730729447,,8.21875,
1642730729440,,,4262.857421875
1642730729349,,8.96875,
1642730729342,,,4268.572265625
1642730729330,12.0859375,,
1642730729324,,10.21875,
1642730729316,,,4274.28662109375
1642730729223,,9.15625,
1642730729216,,,4274.28662109375
1642730729204,12.03125,,
1642730729197,,11.46875,
1642730729190,,,4274.28662109375
1642730729100,,10.15625,
1642730729092,,,4274.28759765625
1642730729081,12.1640625,,
1642730729074,,9.125,
1642730729066,,,4274.28759765625
1642730728973,,11.46875,
1642730728966,,,4268.57275390625
1642730728954,12.09375,,
1642730728948,,10.71875,
1642730728940,,,4268.57275390625
1642730728843,,8.84375,
1642730728836,,,4262.8583984375
1642730728824,12.03125,,
1642730728817,,10.75,
1642730728810,,,4268.57275390625
1642730728711,,10.4375,
1642730728704,,,4268.57275390625
1642730728693,12.046875,,
1642730728685,,10.90625,
1642730728678,,,4268.57275390625
1642730728581,,10.25,
1642730728574,,,4268.5732421875
1642730728562,12.1484375,,
1642730728555,,9.3125,
1642730728548,,,4268.57275390625
1642730728455,,9.875,
1642730728448,,,4268.57275390625
1642730728436,12.0546875,,
1642730728430,,10.09375,
1642730728422,,,4268.57275390625
1642730728333,,10.09375,
1642730728324,,,4268.5732421875
1642730728312,12.0390625,,
1642730728306,,10.9375,
1642730728298,,,4268.57275390625
1642730728206,,9.46875,
1642730728198,,,4268.572265625
1642730728187,12.09375,,
1642730728180,,8.875,
1642730728172,,,4268.572265625
1642730728081,,11.84375,
1642730728073,,,4268.57177734375
1642730728062,12.1328125,,
1642730728055,,10.5,
1642730728048,,,4262.85791015625
1642730727956,,7.09375,
1642730727948,,,4257.14306640625
1642730727936,12.0625,,
1642730727929,,9,
1642730727922,,,4257.14404296875
1642730727831,,13.96875,
1642730727823,,,4257.1435546875
1642730727812,12.0390625,,
1642730727805,,10.71875,
1642730727798,,,4251.42919921875
1642730727705,,12.0625,
1642730727698,,,4251.4296875
1642730727686,12.078125,,
1642730727679,,11.0625,
1642730727672,,,4251.4296875
1642730727582,,9.96875,
1642730727574,,,4240.00146484375
1642730727562,12.0234375,,
1642730727555,,10.84375,
1642730727543,,,4245.71533203125
1642730727447,,12.5625,
1642730727439,,,4240
1642730727428,12.0625,,
1642730727421,,11.15625,
1642730727414,,,4234.28662109375
1642730727320,,11.59375,
1642730727312,,,4228.57177734375
1642730727301,11.9765625,,
1642730727294,,12.1875,
1642730727287,,,4228.57177734375
1642730727191,,10.90625,
1642730727183,,,4217.14306640625
1642730727172,11.953125,,
1642730727165,,13.4375,
1642730727157,,,4205.71484375
1642730727060,,12.625,
1642730727053,,,4188.57177734375
