Timestamp,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Velocity,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Output Current
1642726462013,4245.71484375,
1642726461920,4097.1435546875,
1642726461913,,17.21875
1642726461903,,20.90625
1642726461896,4097.1435546875,
1642726461803,4211.4296875,
1642726461796,,23.71875
1642726461787,,23.71875
1642726461780,4211.4296875,
1642726461688,4480.00048828125,
1642726461682,,31.90625
1642726461672,,36.375
1642726461664,4480.00048828125,
1642726461573,4577.14404296875,
1642726461566,,8
1642726461557,,7.8125
1642726461550,4582.8583984375,
1642726461453,4582.8583984375,
1642726461447,,7.375
1642726461437,,9.9375
1642726461430,4582.85791015625,
1642726461331,4582.85888671875,
1642726461324,,7.03125
1642726461311,,7.5625
1642726461305,4582.8583984375,
1642726461212,4582.85791015625,
1642726461205,,6.71875
1642726461196,,7.46875
1642726461189,4577.14404296875,
1642726461097,4582.857421875,
1642726461091,,9.34375
1642726461081,,7.5625
1642726461074,4582.857421875,
1642726460974,4582.85693359375,
1642726460967,,8.15625
1642726460952,,6.40625
1642726460946,4582.85693359375,
1642726460856,4577.14306640625,
1642726460850,,7.21875
1642726460835,,7.1875
1642726460828,4577.14306640625,
1642726460736,4577.1435546875,
1642726460723,,6.84375
1642726460712,,9.71875
1642726460705,4577.14306640625,
1642726460610,4577.14404296875,
1642726460603,,7.28125
1642726460593,,7.21875
1642726460587,4582.857421875,
1642726460493,4577.1435546875,
1642726460486,,7.875
1642726460476,,6.3125
1642726460469,4577.14453125,
1642726460377,4577.1435546875,
1642726460370,,9.5625
1642726460360,,6.96875
1642726460354,4571.4296875,
1642726460257,4571.4296875,
1642726460250,,8.4375
1642726460241,,7.3125
1642726460234,4571.4296875,
1642726460138,4571.4296875,
1642726460131,,6.15625
1642726460122,,7.0625
1642726460115,4571.4296875,
1642726460021,4571.4296875,
1642726460014,,5.9375
1642726460004,,9.375
1642726459997,4571.4296875,
1642726459904,4571.4296875,
1642726459897,,6.875
1642726459887,,6.875
1642726459880,4571.4296875,
1642726459787,4571.4296875,
1642726459781,,7.6875
1642726459771,,6.59375
1642726459764,4571.4296875,
1642726459659,4565.71484375,
1642726459651,,6.125
1642726459642,,7.21875
1642726459635,4565.71484375,
1642726459543,4565.71484375,
1642726459537,,7.875
1642726459527,,7.875
1642726459520,4565.71484375,
1642726459422,4565.71533203125,
1642726459415,,8.8125
1642726459405,,8.8125
1642726459398,4565.71533203125,
1642726459304,4560.0009765625,
1642726459297,,7.625
1642726459288,,7.625
1642726459281,4560.0009765625,
1642726459187,4565.7158203125,
1642726459181,,6.53125
1642726459171,,7.09375
1642726459164,4565.7158203125,
1642726459073,4554.2861328125,
1642726459066,,9.09375
1642726459055,,7.28125
1642726459048,4560.0009765625,
1642726458955,4554.2861328125,
1642726458947,,9.6875
1642726458937,,7.4375
1642726458930,4554.2861328125,
1642726458831,4560.00048828125,
1642726458824,,7.9375
1642726458814,,7.3125
1642726458808,4554.2861328125,
1642726458712,4554.28564453125,
1642726458705,,8.21875
1642726458695,,6.4375
1642726458688,4548.5712890625,
1642726458598,4548.57177734375,
1642726458590,,5.71875
1642726458581,,10.15625
1642726458574,4548.57177734375,
1642726458478,4548.5712890625,
1642726458471,,7.875
1642726458461,,9
1642726458454,4548.5712890625,
1642726458355,4542.85791015625,
1642726458349,,7.375
1642726458339,,8.375
1642726458332,4542.85791015625,
1642726458235,4542.857421875,
1642726458228,,7.6875
1642726458213,,8.125
1642726458207,4542.857421875,
1642726458119,4537.14306640625,
1642726458113,,7.59375
1642726458098,,6.65625
1642726458091,4537.142578125,
1642726458004,4531.4287109375,
1642726457996,,8.59375
1642726457982,,6.71875
1642726457975,4525.71435546875,
1642726457888,4525.71435546875,
1642726457881,,8.71875
1642726457866,,8.75
1642726457860,4520.00048828125,
1642726457772,4508.5712890625,
1642726457765,,8.65625
1642726457743,,8.34375
1642726457735,4502.857421875,
1642726457657,4480.0009765625,
1642726457650,,12
1642726457609,,11.8125
1642726457584,4474.28662109375,
1642726457484,4451.4287109375,
1642726457477,,11.75
1642726457463,,8.75
1642726457456,4451.4287109375,
1642726457370,4434.28662109375,
1642726457357,,10.65625
1642726457332,,11.25
1642726457307,4428.572265625,
1642726457228,4422.857421875,
1642726457222,,10.53125
1642726457199,,7.65625
1642726457192,4411.427734375,
1642726457109,4400,
1642726457098,,9.625
1642726457071,,10.40625
1642726457051,4394.28515625,
1642726456969,4377.142578125,
1642726456962,,10.84375
1642726456870,,8.8125
1642726456863,4365.71484375,
1642726456853,4360.0009765625,
1642726456837,,8.40625
1642726456750,,7.84375
1642726456743,4348.5732421875,
1642726456720,4348.5732421875,
1642726456713,,9.78125
1642726456615,,9.78125
1642726456609,4342.859375,
1642726456599,4342.859375,
1642726456592,,9.78125
1642726456411,,7.09375
1642726456404,4342.859375,
1642726456394,4342.859375,
1642726456387,,8.0625
1642726456296,,5.59375
1642726456289,4337.14453125,
1642726456278,4342.8583984375,
1642726456272,,8.625
1642726456181,,7.28125
1642726456173,4337.1435546875,
1642726456163,4337.1435546875,
1642726456156,,6.90625
1642726456061,,8.34375
1642726456054,4342.8583984375,
1642726456045,4337.14453125,
1642726456037,,7.25
1642726455943,,7.5
1642726455936,4342.859375,
1642726455926,4342.859375,
1642726455920,,7.5
1642726455826,,7.25
1642726455819,4342.859375,
1642726455809,4342.85888671875,
1642726455803,,8.3125
1642726455710,,7.28125
1642726455703,4337.14453125,
1642726455693,4337.14453125,
1642726455686,,6.09375
1642726455589,,9.25
1642726455583,4337.14453125,
1642726455573,4337.14453125,
1642726455565,,7.6875
1642726455471,,7.46875
1642726455464,4337.14453125,
1642726455455,4337.14453125,
1642726455448,,7.78125
1642726455354,,5.9375
1642726455348,4337.14453125,
1642726455337,4337.14453125,
1642726455329,,8.5625
1642726455227,,9.5
1642726455219,4337.14453125,
1642726455209,4337.14453125,
1642726455201,,6.90625
1642726455108,,6.59375
1642726455101,4331.4296875,
1642726455090,4331.4296875,
1642726455083,,8.65625
1642726454985,,7.5
1642726454978,4337.14404296875,
1642726454964,4331.4296875,
1642726454957,,7.65625
1642726454860,,7.96875
1642726454852,4331.4296875,
1642726454843,4331.4296875,
1642726454835,,9.375
1642726454738,,8.90625
1642726454732,4325.71484375,
1642726454722,4331.42919921875,
1642726454715,,8.25
1642726454621,,8.65625
1642726454614,4331.42919921875,
1642726454604,4325.71484375,
1642726454598,,8.6875
1642726454499,,8.5
1642726454491,4331.42919921875,
1642726454481,4325.71484375,
1642726454474,,9.40625
1642726454379,,7.34375
1642726454372,4325.71484375,
1642726454362,4331.4296875,
1642726454355,,7.0625
1642726454258,,6.40625
1642726454251,4325.71484375,
1642726454240,4325.71484375,
1642726454233,,6.625
1642726454141,,7.71875
1642726454134,4331.4296875,
1642726454125,4331.4296875,
1642726454118,,10.09375
1642726454024,,8.125
1642726454017,4331.4296875,
1642726454007,4331.4296875,
1642726454000,,8.125
1642726453908,,8.625
1642726453901,4331.4296875,
1642726453892,4331.4296875,
1642726453885,,5.8125
1642726453790,,9.9375
1642726453783,4325.71484375,
1642726453774,4331.4296875,
1642726453766,,6.71875
1642726453675,,6.84375
1642726453668,4331.4296875,
1642726453658,4331.4296875,
1642726453651,,7.4375
1642726453558,,7.71875
1642726453551,4331.42919921875,
1642726453542,4325.71484375,
1642726453535,,8
1642726453442,,10.125
1642726453435,4325.71484375,
1642726453425,4325.71484375,
1642726453417,,7.40625
1642726453326,,9
1642726453318,4325.71484375,
1642726453309,4325.71484375,
1642726453301,,6.78125
1642726453198,,6.5
1642726453192,4331.42919921875,
1642726453182,4331.42919921875,
1642726453175,,6.28125
1642726453081,,8.65625
1642726453075,4331.42919921875,
1642726453065,4325.71484375,
1642726453058,,6.0625
1642726452965,,7.03125
1642726452957,4325.71484375,
1642726452948,4325.71484375,
1642726452941,,7.03125
1642726452848,,6.65625
1642726452842,4325.71435546875,
1642726452832,4325.71435546875,
1642726452825,,8
1642726452733,,7.34375
1642726452726,4325.71484375,
1642726452716,4331.42919921875,
1642726452709,,10.125
1642726452613,,7.78125
1642726452606,4331.4296875,
1642726452596,4331.4296875,
1642726452590,,7.625
1642726452484,,5.59375
1642726452477,4331.4296875,
1642726452467,4331.4296875,
1642726452460,,5.59375
1642726452370,,6.6875
1642726452363,4337.14453125,
1642726452353,4337.14453125,
1642726452346,,7.09375
1642726452241,,7.1875
1642726452235,4342.85888671875,
1642726452225,4337.14453125,
1642726452218,,9.3125
1642726452125,,5.84375
1642726452119,4337.14453125,
1642726452109,4337.14453125,
1642726452102,,5.9375
1642726452009,,7.21875
1642726452001,4337.14453125,
1642726451992,4337.1455078125,
1642726451985,,9.71875
1642726451891,,7.09375
1642726451885,4342.859375,
1642726451875,4342.859375,
1642726451867,,7.375
1642726451778,,7.28125
1642726451771,4348.5732421875,
1642726451757,4348.5732421875,
1642726451750,,7.09375
1642726451661,,6.53125
1642726451651,4348.5732421875,
1642726451642,4348.5732421875,
1642726451635,,8.5
1642726451542,,6.65625
1642726451535,4342.859375,
1642726451525,4342.859375,
1642726451518,,6.15625
1642726451420,,8.9375
1642726451413,4342.859375,
1642726451404,4342.859375,
1642726451396,,7.375
1642726451303,,7.34375
1642726451297,4348.5732421875,
1642726451287,4348.5732421875,
1642726451280,,7.34375
1642726451188,,8
1642726451181,4348.5732421875,
1642726451172,4348.5732421875,
1642726451165,,7.6875
1642726451068,,6.34375
1642726451062,4342.859375,
1642726451052,4342.859375,
1642726451045,,9.6875
1642726450950,,6.28125
1642726450943,4348.5732421875,
1642726450933,4348.5732421875,
1642726450926,,6.84375
1642726450830,,7.90625
1642726450823,4348.5732421875,
1642726450814,4348.5732421875,
1642726450807,,5.4375
1642726450712,,7.03125
1642726450706,4348.5732421875,
1642726450696,4348.5732421875,
1642726450689,,9.6875
1642726450594,,7.03125
1642726450587,4348.5732421875,
1642726450577,4348.5732421875,
1642726450571,,6.90625
1642726450479,,9.40625
1642726450471,4342.859375,
1642726450461,4342.859375,
1642726450454,,7.375
1642726450356,,7.1875
1642726450349,4348.5732421875,
1642726450339,4348.5732421875,
1642726450331,,7.25
1642726450238,,6.46875
1642726450231,4348.5732421875,
1642726450221,4348.5732421875,
1642726450215,,8.3125
1642726450119,,8.03125
1642726450112,4342.859375,
1642726450102,4342.859375,
1642726450095,,7
1642726450006,,7.53125
1642726449999,4342.859375,
1642726449984,4342.859375,
1642726449978,,6.71875
1642726449892,,10
1642726449884,4342.859375,
1642726449869,4342.859375,
1642726449862,,6.875
